Page,Gravité,Type,Description,Repro,Fix,Estimation
/[locale]/dashboard,Critical,Perf,Dashboard monolithique avec 9 tabs - bundle trop lourd (1660 lignes),Ouvrir /br/dashboard et inspecter le bundle,Code splitting par tab avec dynamic imports,16h
/[locale]/dashboard,Major,UX,9 tabs difficiles à naviguer sur mobile - navigation complexe,Accéder au dashboard sur mobile et essayer de naviguer entre les tabs,Ajouter une navigation mobile avec select dropdown,8h
/[locale]/simulador,Critical,Perf,Calculatrice chargée immédiatement - pas de dynamic import,Accéder à /br/simulador et inspecter le bundle,Wrapper avec dynamic import et Suspense,4h
/[locale]/simulador-avancado,Critical,Perf,Calculatrice avancée chargée immédiatement - composant lourd,Accéder à /br/simulador-avancado et inspecter le bundle,Wrapper avec dynamic import et Suspense,4h
/[locale]/dashboard,Major,A11y,Landmarks manquants - pas de structure sémantique claire,Ouvrir /br/dashboard et vérifier les landmarks dans l'inspecteur,Ajouter main, section, nav avec aria-labels appropriés,6h
/[locale]/dashboard,Major,A11y,Contrastes insuffisants - textes gris clairs sur fond blanc,Inspecter les textes en text-gray-500 et text-gray-400,Améliorer les contrastes en utilisant text-gray-600 et text-gray-500,3h
/[locale]/dashboard,Major,A11y,Aria-labels manquants pour les icônes et boutons,Inspecter les boutons avec icônes sans aria-label,Ajouter aria-label explicites pour tous les éléments interactifs,4h
/[locale]/dashboard,Major,A11y,Focus visible insuffisant - pas d'indicateur clair du focus,Naviguer au clavier dans le dashboard,Améliorer les styles de focus avec ring et outline,3h
/[locale]/dashboard,Major,A11y,Rôles manquants pour les tabs - navigation non accessible,Inspecter la navigation par tabs dans le dashboard,Ajouter role="tablist", role="tab", aria-selected, aria-controls,6h
/[locale]/dashboard,Major,UX,Densité d'information trop élevée - trop d'éléments par section,Ouvrir le dashboard et observer la densité des informations,Ajouter des espacements et séparateurs visuels entre sections,5h
/[locale]/dashboard,Major,UX,Manque de séparation visuelle entre sections - confusion visuelle,Observer les différentes sections du dashboard,Ajouter des bordures et espacements cohérents entre sections,4h
/[locale]/dashboard,Major,UX,Loading states incohérents entre composants - expérience utilisateur fragmentée,Charger différentes sections du dashboard et observer les états de chargement,Standardiser tous les loading states avec un composant unique,6h
/[locale]/dashboard,Major,UX,Pas d'empty states - affichage vide sans contexte,Accéder au dashboard sans données et observer l'affichage,Ajouter des empty states informatifs pour chaque section,8h
/[locale]/dashboard,Major,UX,Navigation par tabs non optimisée mobile - 9 tabs trop nombreux,Accéder au dashboard sur mobile et essayer de naviguer,Ajouter une navigation mobile avec select ou accordéon,8h
/[locale]/onboarding,Major,UX,Pas de sauvegarde automatique - risque de perte de données,Commencer l'onboarding et fermer le navigateur sans sauvegarder,Ajouter une sauvegarde automatique toutes les 2 secondes,6h
/[locale]/onboarding,Major,UX,Impossible de revenir en arrière facilement - navigation restrictive,Essayer de revenir à l'étape précédente dans l'onboarding,Ajouter des boutons de navigation et sauvegarde des étapes,4h
/[locale]/onboarding,Major,UX,Pas de prévisualisation des données - validation difficile,Compléter les étapes de l'onboarding sans voir le résultat final,Ajouter une prévisualisation des données à chaque étape,6h
/[locale]/simulador,Major,UX,Formulaire compact sur mobile - difficulté de saisie,Accéder au simulateur sur mobile et essayer de remplir le formulaire,Améliorer l'espacement et la taille des inputs sur mobile,4h
/[locale]/simulador,Major,UX,Composant lourd chargé immédiatement - impact sur la performance,Accéder au simulateur et observer le temps de chargement,Wrapper avec dynamic import et skeleton de chargement,4h
/[locale]/blog,Major,UX,Pas de pagination - chargement complet des articles,Accéder au blog avec beaucoup d'articles et observer le chargement,Ajouter une pagination avec lazy loading des articles,8h
/[locale]/blog,Major,UX,Chargement complet - tous les articles chargés d'un coup,Inspecter le chargement du blog et observer la quantité de données,Ajouter une pagination et un lazy loading progressif,8h
/[locale]/blog,Major,Perf,Blog chargé entièrement côté client - pas d'optimisation,Accéder au blog et inspecter le rendu côté client,Convertir en Server Component avec Client Component pour interactions,6h
/[locale]/recursos,Major,UX,Liens hardcodés vers /br/ - pas de localisation dynamique,Accéder à /fr/recursos et observer les liens vers /br/,Rendre les liens dynamiques selon la locale actuelle,3h
/[locale]/recursos,Major,UX,Manque de feedback sur les actions - pas de confirmation,Cliquer sur les boutons de ressources et observer l'absence de feedback,Ajouter des toasts et confirmations pour les actions,4h
/[locale]/calculadora/upload-holerite,Major,UX,Indicateurs de chargement incohérents - expérience fragmentée,Uploader un holerite et observer les différents états de chargement,Standardiser les indicateurs de chargement OCR et IA,4h
/[locale]/calculadora/upload-holerite,Major,UX,Pas de feedback sur les actions longues - utilisateur dans l'incertitude,Uploader un gros fichier et observer l'absence de progression,Ajouter une barre de progression et des étapes visuelles,6h
/[locale]/financial-checkup,Major,UX,Interface complexe sur mobile - difficulté de navigation,Accéder au check-up financier sur mobile et essayer de naviguer,Optimiser l'interface mobile avec une navigation simplifiée,8h
/[locale]/chat-com-pim,Major,UX,Pas de feedback sur la saisie - utilisateur dans l'incertitude,Taper dans le chat et observer l'absence de feedback,Ajouter des indicateurs de saisie et de validation,4h
/[locale]/profile,Major,UX,Formulaire sans validation en temps réel - erreurs tardives,Remplir le formulaire de profil et observer l'absence de validation,Ajouter une validation en temps réel avec feedback immédiat,6h
/[locale]/account,Major,UX,Pas de confirmation sur les actions critiques - risque d'erreur,Essayer de modifier des paramètres critiques du compte,Ajouter des confirmations et des étapes de validation,6h
/[locale]/cgu,Major,UX,Page statique sans navigation contextuelle - retour difficile,Accéder aux CGU depuis une page profonde et essayer de revenir,Ajouter des breadcrumbs et une navigation contextuelle,3h
/[locale]/guia-paises,Major,UX,Guide non localisé - contenu uniquement en portugais,Accéder à /fr/guia-paises et observer le contenu en portugais,Localiser le contenu selon la langue sélectionnée,8h
/[locale]/login,Major,UX,Pas de validation côté client - erreurs après soumission,Remplir le formulaire de login avec des données invalides,Ajouter une validation en temps réel avec feedback immédiat,4h
/[locale]/signup,Major,UX,Pas de validation côté client - expérience utilisateur dégradée,Remplir le formulaire d'inscription avec des données invalides,Ajouter une validation en temps réel avec feedback immédiat,4h
/[locale]/auth/callback,Major,UX,Redirection hardcodée vers /dashboard - pas de localisation,Accéder à /fr/auth/callback et observer la redirection vers /dashboard,Rendre la redirection dynamique selon la locale,3h
/[locale]/scan-new-pim,Major,UX,Interface complexe sur mobile - difficulté d'utilisation,Accéder au scan sur mobile et essayer d'utiliser l'interface,Optimiser l'interface mobile avec une navigation simplifiée,6h
/[locale]/analise-holerite,Major,Perf,Composant VirtualPayslip chargé immédiatement - pas de dynamic import,Accéder à l'analyse holerite et inspecter le bundle,Wrapper avec dynamic import et Suspense,4h
/[locale]/dashboard/comparateur,Major,Perf,BenefitComparator chargé immédiatement - composant lourd,Accéder au comparateur et inspecter le bundle,Wrapper avec dynamic import et Suspense,4h
/admin,Critical,Perf,Interface admin chargée entièrement - composants lourds non optimisés,Accéder au panel admin et inspecter le bundle,Lazy loading des sections admin avec dynamic imports,12h
/admin,Major,UX,Interface admin non optimisée mobile - difficulté d'utilisation,Accéder au panel admin sur mobile et essayer de naviguer,Refactoriser l'interface admin pour mobile avec navigation adaptée,16h
/admin,Major,UX,Composants admin chargés immédiatement - impact sur la performance,Accéder au panel admin et observer le chargement de tous les composants,Lazy loading des composants admin avec skeletons,8h
/admin/blog,Major,UX,Gestion blog admin non optimisée mobile - interface complexe,Accéder à la gestion blog admin sur mobile et essayer d'utiliser l'interface,Optimiser l'interface de gestion blog pour mobile,8h
/admin/feedback-analytics,Major,UX,Analytics admin non optimisés mobile - visualisations complexes,Accéder aux analytics admin sur mobile et essayer de consulter les données,Optimiser les visualisations et tableaux pour mobile,10h
/[locale]/,Minor,UX,LoginModal désactivé - pas de fallback pour la connexion,Essayer de se connecter depuis la page d'accueil et observer l'absence de modal,Réactiver le LoginModal ou ajouter un fallback de connexion,4h
/[locale]/,Minor,UX,Pas d'empty states sur la page d'accueil - affichage vide sans contexte,Accéder à la page d'accueil sans contenu et observer l'affichage,Ajouter des empty states informatifs pour les sections vides,3h
/[locale]/,Minor,UX,Manque de feedback sur les actions - pas de confirmation,Cliquer sur les boutons de la page d'accueil et observer l'absence de feedback,Ajouter des toasts et confirmations pour les actions,4h
/[locale]/simulador,Minor,UX,Footer avec liens hardcodés - pas de localisation dynamique,Accéder au simulateur et observer les liens du footer vers des pages en portugais,Rendre les liens du footer dynamiques selon la locale,2h
/[locale]/simulador,Minor,UX,Logo sans alt descriptif - accessibilité dégradée,Inspecter le logo du simulateur et observer l'absence d'alt descriptif,Ajouter un alt descriptif pour le logo,1h
/[locale]/simulador,Minor,UX,Copyright hardcodé en portugais - pas de localisation,Accéder au simulateur et observer le copyright en portugais,Localiser le copyright selon la langue sélectionnée,1h
/[locale]/simulador-avancado,Minor,UX,Erreurs de brackets non gérées gracieusement - affichage d'erreur brut,Accéder au simulateur avancé et observer la gestion des erreurs de brackets,Ajouter une gestion d'erreur gracieuse avec fallbacks,4h
/[locale]/simulador-avancado,Minor,UX,Console.error sans feedback utilisateur - erreurs invisibles,Accéder au simulateur avancé et observer les erreurs dans la console,Ajouter des toasts d'erreur pour informer l'utilisateur,3h
/[locale]/recursos,Minor,UX,Liens vers ressources non localisées - contenu uniquement en portugais,Accéder aux ressources et observer le contenu uniquement en portugais,Localiser le contenu des ressources selon la langue,8h
/[locale]/recursos,Minor,UX,Manque de feedback sur les actions - pas de confirmation,Cliquer sur les boutons de ressources et observer l'absence de feedback,Ajouter des toasts et confirmations pour les actions,3h
/[locale]/blog,Minor,UX,Articles non localisés - contenu uniquement en portugais,Accéder au blog et observer les articles uniquement en portugais,Localiser le contenu des articles selon la langue,12h
/[locale]/blog,Minor,UX,Recherche sans feedback - pas d'indication de résultats,Utiliser la recherche du blog et observer l'absence de feedback,Ajouter des indicateurs de résultats et de progression,4h
/[locale]/blog,Minor,UX,Filtres sans feedback - pas d'indication de sélection,Utiliser les filtres du blog et observer l'absence de feedback,Ajouter des indicateurs de sélection et de résultats,3h
/[locale]/calculadora/upload-holerite,Minor,UX,Erreurs sans retry - pas de possibilité de réessayer,Observer une erreur d'upload et essayer de la résoudre,Ajouter des boutons de retry et des suggestions de résolution,4h
/[locale]/calculadora/upload-holerite,Minor,UX,Timeout sans indication - utilisateur dans l'incertitude,Uploader un gros fichier et observer l'absence d'indication de timeout,Ajouter des indicateurs de timeout et des suggestions,3h
/[locale]/financial-checkup,Minor,UX,Calculs sans feedback - pas d'indication de progression,Utiliser le check-up financier et observer l'absence de feedback sur les calculs,Ajouter des indicateurs de progression et de résultats,4h
/[locale]/financial-checkup,Minor,UX,Sauvegarde sans confirmation - pas d'indication de succès,Sauvegarder le check-up et observer l'absence de confirmation,Ajouter des confirmations de sauvegarde et des indicateurs de succès,3h
/[locale]/chat-com-pim,Minor,UX,Messages sans timestamp - pas de contexte temporel,Utiliser le chat et observer l'absence de timestamps sur les messages,Ajouter des timestamps sur tous les messages,3h
/[locale]/chat-com-pim,Minor,UX,Pas de statut de connexion - utilisateur dans l'incertitude,Utiliser le chat et observer l'absence d'indication de statut de connexion,Ajouter un indicateur de statut de connexion,2h
/[locale]/profile,Minor,UX,Sauvegarde sans confirmation - pas d'indication de succès,Sauvegarder le profil et observer l'absence de confirmation,Ajouter des confirmations de sauvegarde et des indicateurs de succès,3h
/[locale]/profile,Minor,UX,Validation sans feedback en temps réel - erreurs tardives,Remplir le formulaire de profil et observer l'absence de validation en temps réel,Ajouter une validation en temps réel avec feedback immédiat,4h
/[locale]/account,Minor,UX,Actions critiques sans confirmation - risque d'erreur,Essayer de modifier des paramètres critiques et observer l'absence de confirmation,Ajouter des confirmations pour toutes les actions critiques,4h
/[locale]/account,Minor,UX,Pas de feedback sur les actions - utilisateur dans l'incertitude,Effectuer des actions dans le compte et observer l'absence de feedback,Ajouter des toasts et confirmations pour toutes les actions,3h
/[locale]/cgu,Minor,UX,Contenu non localisé - conditions uniquement en portugais,Accéder aux CGU et observer le contenu uniquement en portugais,Localiser le contenu des CGU selon la langue,6h
/[locale]/cgu,Minor,UX,Manque de navigation contextuelle - retour difficile,Accéder aux CGU depuis une page profonde et essayer de revenir,Ajouter des breadcrumbs et une navigation contextuelle,3h
/[locale]/guia-paises,Minor,UX,Guide non localisé - contenu uniquement en portugais,Accéder au guide des pays et observer le contenu uniquement en portugais,Localiser le contenu du guide selon la langue,8h
/[locale]/guia-paises,Minor,UX,Manque de navigation contextuelle - retour difficile,Accéder au guide depuis une page profonde et essayer de revenir,Ajouter des breadcrumbs et une navigation contextuelle,3h
/[locale]/login,Minor,UX,Validation sans feedback en temps réel - erreurs tardives,Remplir le formulaire de login et observer l'absence de validation en temps réel,Ajouter une validation en temps réel avec feedback immédiat,3h
/[locale]/login,Minor,UX,Erreurs sans suggestions - pas d'aide à la résolution,Observer une erreur de login et essayer de la résoudre,Ajouter des suggestions et de l'aide à la résolution,3h
/[locale]/signup,Minor,UX,Validation sans feedback en temps réel - erreurs tardives,Remplir le formulaire d'inscription et observer l'absence de validation en temps réel,Ajouter une validation en temps réel avec feedback immédiat,4h
/[locale]/signup,Minor,UX,Erreurs sans suggestions - pas d'aide à la résolution,Observer une erreur d'inscription et essayer de la résoudre,Ajouter des suggestions et de l'aide à la résolution,4h
/[locale]/auth/callback,Minor,UX,Redirection hardcodée - pas de localisation dynamique,Accéder au callback d'auth et observer la redirection hardcodée,Rendre la redirection dynamique selon la locale,2h
/[locale]/scan-new-pim,Minor,UX,Interface complexe sur mobile - difficulté d'utilisation,Accéder au scan sur mobile et essayer d'utiliser l'interface,Optimiser l'interface mobile avec une navigation simplifiée,6h
/[locale]/analise-holerite,Minor,UX,Composant lourd chargé immédiatement - impact sur la performance,Accéder à l'analyse holerite et observer le chargement du composant lourd,Wrapper avec dynamic import et Suspense,4h
/[locale]/dashboard/comparateur,Minor,UX,Composant lourd chargé immédiatement - impact sur la performance,Accéder au comparateur et observer le chargement du composant lourd,Wrapper avec dynamic import et Suspense,4h
